Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,1uF,
"C2, C4",0603,2,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-323,16,D,
"D17, D18",D_SOD-123,2,1N4148W,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_2x16_P2.54mm_Vertical,1,Conn_02x16_Odd_Even,
"MOT1, MOT2",VIBRATING-MOTOR-SMD_WELDING,2,LCM1027A2445F,C2759984
"Q1, Q2",SOT-23,2,NPN,
"R1, R2",0603,2,5.1K,
"R10, R9",0603,2,1K,
"R11, R3, R4, R5, R6, R7, R8",0603,7,10K,
"SW1, SW10, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_PUSH_6mm,10,SW_Push,
"SW11, SW12, SW13, SW15",SW_Tactile_SKHH_Angled,4,SW_Push,
SW14,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch_MP,
"U1, U2",JOYSTICK,2,COM-09032,
U3,SOIC-28W_7.5x17.9mm_P1.27mm,1,MCP23017_SO,
U4,TSSOP-10_3x3mm_P0.5mm,1,ADS1015IDGS,
