Designator,Mid X,Mid Y,Rotation,Layer
C1,48.85,-96.6,180.0,top
C2,48.85,-95.0,180.0,top
C3,210.6,-96.6,0.0,top
C4,210.6,-95.0,0.0,top
D1,204.4,-79.6,270.0,top
D10,81.2,-97.6,90.0,top
D11,199.8,-68.0,0.0,top
D12,51.4,-71.2,90.0,top
D13,101.0,-70.6,180.0,top
D14,205.4,-108.8,270.0,top
D15,171.8,-76.0,90.0,top
D16,73.0,-75.0,180.0,top
D17,48.85,-93.0,0.0,top
D18,210.6,-93.0,180.0,top
D2,192.25,-92.4,0.0,top
D3,177.25,-83.0,0.0,top
D4,193.0,-78.0,0.0,top
D5,76.4,-107.2,0.0,top
D6,68.8,-121.8,180.0,top
D7,54.6,-107.0,180.0,top
D8,67.99,-100.85,90.0,top
D9,177.8,-95.45,270.0,top
J1,129.6162,-68.76,180.0,top
J2,129.6,-121.48,90.0,top
MOT1,48.85,-100.2,180.0,top
MOT2,210.57,-100.2,0.0,top
Q1,52.2,-95.2,270.0,top
Q2,206.9375,-95.05,180.0,top
R1,131.4,-75.625,270.0,top
R10,206.0,-98.6,270.0,top
R11,152.6,-88.4,0.0,top
R2,128.8,-75.6,270.0,top
R3,137.6,-83.2,90.0,top
R4,136.0,-81.8,90.0,top
R5,152.6,-79.2,90.0,top
R6,154.2,-81.4,270.0,top
R7,154.2,-86.0,90.0,top
R8,152.6,-84.2,90.0,top
R9,55.2,-97.0,0.0,top
SW1,207.6,-85.2,0.0,top
SW10,75.3469,-98.745,0.0,top
SW11,205.4,-69.175,0.0,top
SW12,52.4,-69.1,0.0,top
SW13,100.9903,-69.1684,0.0,top
SW14,182.0502,-72.3991,180.0,top
SW15,158.4,-69.1,0.0,top
SW2,195.6,-97.2,0.0,top
SW3,183.65,-85.2,0.0,top
SW4,195.65,-73.2,0.0,top
SW5,74.2,-112.0,0.0,top
SW6,62.2,-124.0,0.0,top
SW7,50.25,-112.0,0.0,top
SW8,62.25,-100.0,0.0,top
SW9,183.6,-98.75,0.0,top
U3,144.95,-83.955,270.0,top
U4,134.6,-98.2,0.0,top
